Judy:阿桑
Aya:阿雅
Echo:艾可
Vicki Chiu:赵薇
Bondy Chiu:赵学而
Cyndi Chaw:赵咏华
BiBi Chao:赵之璧
Nei Yan:甄妮
Joanne Zheng:郑琼之
Stephanie Cheng:郑融
Yumiko Cheng:郑希怡
Eva Cheng:郑新玮
Sammi Cheng:郑秀文
Suet Cheng:郑雪儿
Edith Chung:钟汶
Vivian Chow:周慧敏
Wai Chow:周蕙
Jue Zhou:周迅
Alex Chu:朱少薇
Rosita Chu:朱卫茵
Athena Chu:朱茵
Genie Zuo:卓文萱
Ken Choi:蔡枫华
Terence Choi:蔡国权
LanQin Cai:蔡蓝钦
Hsiao Tsai:蔡小虎
Remus Choy:蔡一杰
Danny Chan:陈百强
GuanPu Chan:陈冠蒲
Edison Chan:陈冠希
Eric Chen:陈冠宇
Kuo Chan:陈国华
Benny Chan:陈浩民
Fai Chan:陈辉阳
Jian Chan:陈建年
Kenneth Chan:陈启泰
Hing Chan:陈庆祥
Bobby Chen:陈升
Victor Chan:陈司翰
Jordan Chan:陈小春
Daniel Chan:陈晓东
Eason Chan:陈奕迅
Yue Chan:陈雨霈
Banny Chen:陈志朋
Jackie Chan:成龙
Andy Tang:邓昊天
Joey Tang:邓建明
Patrick Tang:邓健泓
Alex To:杜德伟
Ri Fan:范逸臣
Alex Fong:方力申
Kris Phillips:费翔
Yu Fei:费玉清
Stephen Fung:冯德伦
Ling Gao:高凌风
Long Kao:高隆
Eric Kot:葛民辉
Jun Kung:恭硕良
Leo Koo:古巨基
Louis Koo:古天乐
Frank Gu:顾海滨
Tak Kwan:关德辉
Michael Kwan:关正杰
Aaron Kwok:郭富城
Dylan Kuo:郭品超
Siu Kwok:郭小霖
Peter Ho:何润东
Pi Hei:黑皮
Jung Hung:洪荣宏
Anson Hu:胡彦斌
On Wong:黄安
David Huang:黄大炜
Paul Wong:黄贯中
Juis Wong:黄国俊
Kwok Wong:黄国伦
Steve Wong:黄家强
Christopher Wong:黄凯芹
Lei Huang:黄磊
Stanley Huang:黄立行
Victor Huang:黄维德
Pin Huang:黄品源
Anthony Wong:黄耀明
Shu Huang:黄舒骏
Yida Huang:黄义达
Hei Wong:王喜
China Huang:黄中原
Dayo Wong:黄子华
Mickey Huang:黄子佼
Craig Fok:霍经伦
Tommy Chi:季忠平
Jonathan Kong:江得胜
Wa Kwong:江华
Yu Jiang:姜育恒
Cheng Jin:金城武
Sau Orr:柯受良
Jeffrey Kung:孔令奇
William Hung:孔庆翔
Lang Lang:郎朗
Benny Lai:黎骏
Leon Lai:黎明
Kwok Lee:李国祥
Seasons Lee:李嘉强
Hacken Lee:李克勤
James Li:李泉
Sam Li:李圣杰
David Lee:李恕权
Johnson Lee:李思捷
Tai Lee:李泰祥
Wei Lee:李威
Don LI:李逸朗
Yundi Li:李云迪
Jonathan Lee:李宗盛
Tony Leung:梁家辉
Edmond Leung:梁汉文
Piu Leung:梁翘柏
Bowie Lam:林保怡
Jan Lam:林海峰
Ken Lam:林建亨
JJ Lam:林俊杰
Kevin Lam:林隆璇
Chiang Lin:林强
Chet Lam:林一峰
Yourway Lam:林佑威
Terry Lin:林志炫
Jimmy Lam:林志颖
Zi Lin:林子良
George Lam:林子祥
Andy Lau:刘德华
Wilfred Lau:刘浩龙
Kai Lau:刘恺威
Bobby Liu:刘文正
Tats Lau:刘以达
Lowell Lo:卢冠廷
Yi Lu:陆毅
David Lui:吕方
Anthony Lun:伦永亮
Jerry Lo:罗百吉
Dai Law:罗大佑
Gallen Law:罗嘉良
Shih Lo:罗时丰
Roman Tam:罗文
Vincent Lo:罗文聪
Alan Luo:罗志祥
Joe Ma:马德钟
Steven Ma:马浚伟
Juno Mak:麦浚龙
Mulin Mao:毛宁
Ocean Ou:欧得洋
Alb Au:区瑞强
An Pan:潘安邦
Will Pan:潘玮柏
Kin Pang:彭健新
Chin Chyi:齐秦
Yang Qin:秦杨
Roy Qiu:邱泽
Richie Yam:任贤齐
Wen Shen:沈文程
Michael Shih:施文彬
William So:苏永康
Alec Su:苏有朋
Eric Suen:孙耀威
Samuel Tai:邰正宵
Patrick Tam:谭耀文
Alan Tam:谭咏麟
David Tao:陶喆
Angus Tung:童安格
Michael Wong:王光良
Cyrus Wong:王嘉明
Dave Wong:王杰
Andy Wang:王介安
LeeHom Wong:王力宏
RenHong Wong:王仁宏
Shi Wang:王识贤
Chung Wang:王中平
Danny One:温力铭
Zhang, Man Wen:文章
Eric Moo:巫启贤
Kwok Ng:吴国敬
Deep Ng:吴浩康
Venness Wu:吴建豪
Ko Wu:吴克群
Nicky Wu:吴奇隆
Kai Ng:吴启华
Eric Wu:吴若权
Denis Ng:吴彤
Jacky Ng:吴宗宪
Bai Ng:伍佰
